dataset_version,relative_path,file_group,file_format,field_count,bytes,schema_generated,principal_core_schema,source_or_derivation
v1.0.2,archive_validation_summary.json,release_control,json,11,376,True,False,Release-control or article-support artifact.
v1.0.2,core_topology/at_circuit_classification.csv,core_topology,csv,29,1617097,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_endpoint_facility_membership_summary.csv,core_topology,csv,10,833,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_endpoint_index.csv,core_topology,csv,13,11847409,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_endpoint_index_summary.csv,core_topology,csv,9,477,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_facility_footprints_summary.csv,core_topology,csv,6,380,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_interfacility_candidate_branches.csv,core_topology,csv,24,2015173,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_paper_logic_graph.graphml,core_topology,graphml,16,339276,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_paper_logic_parameter_sweep.csv,core_topology,csv,26,36831,True,True,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_paper_logic_summary.json,core_topology,json,98,7745,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_parameter_availability_matrix.csv,core_topology,csv,12,6095,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_parameter_feasibility_summary.json,core_topology,json,67,7710,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,core_topology/at_voltage_class_inventory.csv,core_topology,csv,13,439,True,False,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.
v1.0.2,excluded_artifacts.json,release_control,json,8,2292,True,False,Release-control or article-support artifact.
v1.0.2,inventory/headline_counts.json,release_control,json,98,10377,True,False,Release-control or article-support artifact.
v1.0.2,manifest.json,release_control,json,26,70197,True,False,Release-control or article-support artifact.
v1.0.2,provenance/api_validation.json,provenance,json,66,85420,True,False,Generated release/source provenance metadata.
v1.0.2,provenance/license_approvals.csv,provenance,csv,6,608,True,False,Generated release/source provenance metadata.
v1.0.2,provenance/pt60_v1.0.2_source_input_manifest.json,provenance,json,10,3788,True,False,Generated release/source provenance metadata.
v1.0.2,provenance/reproduction_source_manifest.csv,provenance,csv,28,11916,True,True,Generated release/source provenance metadata.
v1.0.2,provenance/reproduction_source_manifest.json,provenance,json,46,23884,True,False,Generated release/source provenance metadata.
