dataset_version,relative_path,file_group,file_format,field_name,field_scope,description,inferred_type,logical_type,unit,nullable,null_count,null_rate,missing_values_observed,example_values,allowed_values_observed,key_role,join_target,semantic_status,source_or_derivation,public_release_status
v1.0.0,archive_validation_summary.json,release_control,json,$.archive_path,json_pointer,Technical-validation field `$.archive_path`.,string,string,not_applicable,False,0,0.0,[],"[""data/releases/PT60-Candidate-v1.0.0.tar.gz""]","[""data/releases/PT60-Candidate-v1.0.0.tar.gz""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.checksum_mismatches,json_pointer,Technical-validation field `$.checksum_mismatches`.,string,checksum,not_applicable,False,0,0.0,[],"[""<array len=0>""]","[""<array len=0>""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.checksum_missing_paths,json_pointer,Technical-validation field `$.checksum_missing_paths`.,string,checksum,not_applicable,False,0,0.0,[],"[""<array len=0>""]","[""<array len=0>""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.documented_missing,json_pointer,Technical-validation field `$.documented_missing`.,string,string,not_applicable,False,0,0.0,[],"[""<array len=0>""]","[""<array len=0>""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.file_count,json_pointer,Technical-validation field `$.file_count`.,integer,integer,count,False,0,0.0,[],"[""63""]","[""63""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.generated_at,json_pointer,Technical-validation field `$.generated_at`.,string,datetime_or_date,not_applicable,False,0,0.0,[],"[""2026-07-14T15:13:44+00:00""]","[""2026-07-14T15:13:44+00:00""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.manifest_records,json_pointer,Technical-validation field `$.manifest_records`.,integer,integer,not_applicable,False,0,0.0,[],"[""63""]","[""63""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.missing_documentation,json_pointer,Technical-validation field `$.missing_documentation`.,string,string,not_applicable,False,0,0.0,[],"[""<array len=0>""]","[""<array len=0>""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.missing_required,json_pointer,Technical-validation field `$.missing_required`.,string,string,not_applicable,False,0,0.0,[],"[""<array len=0>""]","[""<array len=0>""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.release_dir,json_pointer,Technical-validation field `$.release_dir`.,string,string,not_applicable,False,0,0.0,[],"[""data/releases/PT60-Candidate-v1.0.0""]","[""data/releases/PT60-Candidate-v1.0.0""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,archive_validation_summary.json,release_control,json,$.status,json_pointer,Technical-validation field `$.status`.,string,string,not_applicable,False,0,0.0,[],"[""PASS""]","[""PASS""]",none,,release_control,Release-control or article-support artifact.,public
v1.0.0,core_topology/at_circuit_classification.csv,core_topology,csv,facility_node_set,csv_column,Selected facility-node universe used during reconstruction.,string,string,not_applicable,False,0,0.0,[],"[""B""]","[""B""]",none,,core_candidate_topology,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.,public
v1.0.0,core_topology/at_circuit_classification.csv,core_topology,csv,facility_buffer_m,csv_column,Facility matching buffer radius used during reconstruction.,integer,distance_m,m,False,0,0.0,[],"[""100""]","[""100""]",none,,core_candidate_topology,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.,public
v1.0.0,core_topology/at_circuit_classification.csv,core_topology,csv,endpoint_snap_threshold_m,csv_column,Endpoint clustering/snap threshold used during reconstruction.,number,distance_m,m,False,0,0.0,[],"[""0.5""]","[""0.5""]",none,,core_candidate_topology,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.,public
v1.0.0,core_topology/at_circuit_classification.csv,core_topology,csv,merge_mode,csv_column,Circuit-segment merge strategy.,string,string,not_applicable,False,0,0.0,[],"[""voltage-status-aware""]","[""voltage-status-aware""]",none,,core_candidate_topology,Derived from public E-REDES source records by the frozen PT60 fail-closed reconstruction pipeline.,public
