figure_id,panel_id,claim,source_data,source_sha256,generator,output_file,caption,uncertainty,license_status,status,notes
fig01,all,SimPT60 connects public evidence to reproducible AC operating states,paper/PT60_Sep16.MD,6f9cd72f4d1026998e7b40e97cccad56c8b97badcf4c77800518970e28983cd7,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig01_dataset_overview.pdf,Dataset overview,none,internal,validated,Conceptual synthesis; no measured values
fig02,all,The dataset is produced by a five-stage traceable workflow,paper/PT60_Sep16.MD,6f9cd72f4d1026998e7b40e97cccad56c8b97badcf4c77800518970e28983cd7,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig02_processing_workflow.pdf,Processing workflow,none,internal,validated,Conceptual synthesis; no measured values
fig03,all,Static topology reconstruction uses explicit spatial and electrical rules,paper/PT60_Sep16.MD,6f9cd72f4d1026998e7b40e97cccad56c8b97badcf4c77800518970e28983cd7,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig03_static_network_reconstruction.pdf,Static network reconstruction,none,internal,validated,Rule diagram
fig04,all,Spatial asset mapping and temporal alignment remain separate until case assembly,paper/PT60_Sep16.MD,6f9cd72f4d1026998e7b40e97cccad56c8b97badcf4c77800518970e28983cd7,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig04_asset_mapping_alignment.pdf,Asset mapping and time alignment,none,internal,validated,Rule diagram
fig05,all,Independent AC solves and serialized publication form the monthly execution model,paper/PT60_Sep16.MD,6f9cd72f4d1026998e7b40e97cccad56c8b97badcf4c77800518970e28983cd7,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig05_case_assembly_execution.pdf,Case assembly and execution,none,internal,validated,Computational workflow
fig06,all,Stable keys connect raw evidence static topology scenarios results and validation,paper/PT60_Sep16.MD,6f9cd72f4d1026998e7b40e97cccad56c8b97badcf4c77800518970e28983cd7,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig06_database_provenance_qc.pdf,Database and provenance model,none,internal,validated,Database architecture
fig07,a-b,The reconstructed network preserves geography and supports solved peak-load states,portuguese_hv_network/site/public/data/pt60/lines.geojson;portuguese_hv_network/site/public/data/pt60/buses.geojson;portuguese_hv_network/outputs/annual_nminus1_panel_v2/models/PT60_ANNUAL_PEAK_LOAD_20260115_1215_+0000_solved.json,ae69786af3fbf698541ced85139ae54db7bcecad094787dd01d6f846984380fe;498c19b8d32c59bdac3e0c4adb564ea03b78ab7014f1da704c049486aa7cf2de;9c9fe5aeae87b320e1ab4f8972472438c49bcf30bf6277a753bbee0f117ebb08,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig07_geographic_operating_state.pdf,Geographic network and peak-load state,none,public-source attribution required,validated,EPSG:3763; pandapower results joined to stable IDs
fig08,a-d,The data preserve continuous 15-minute variation across the common modeling window,portuguese_hv_network/outputs/validation_experiments/scope_matched_validation_timeseries.csv,0f85b926214788d015bc8be1feeffd241ace0c2ed03c1623cc3b8bb9279024f4,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig08_timeseries_coverage.pdf,Time-series content coverage and completeness,none,internal,validated,Natural week containing maximum load
fig11,a-b,Scope-matched public load series agree in daily evolution and intraday shape,portuguese_hv_network/outputs/validation_experiments/scope_matched_validation_timeseries.csv,0f85b926214788d015bc8be1feeffd241ace0c2ed03c1623cc3b8bb9279024f4,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig11_load_scale_intraday.pdf,Load scale and intraday profile,none,internal,validated,Daily mean and mean intraday profile
fig13,a-d,Generation comparisons must distinguish national and distribution accounting boundaries,portuguese_hv_network/outputs/validation_experiments/scope_matched_validation_timeseries.csv,0f85b926214788d015bc8be1feeffd241ace0c2ed03c1623cc3b8bb9279024f4,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig13_generation_balance.pdf,Generation profiles and balance boundaries,none,internal,validated,Daily means; absolute residuals
fig18,a-c,N-1 conclusions differ between absolute thresholds and incremental diagnostics,portuguese_hv_network/outputs/annual_nminus1_panel_v2/annual_nminus1_panel.csv,9a99b5af1c34fc7e4bd1989af37c1d0cbf1081c1a9f4ef8a36b727575449fd5a,paper/scripts/generate_pt60_scientific_figures.py,paper/figures/scientific/fig18_annual_nminus1_panel.pdf,Annual full-element N-1 panel,none,internal,validated,Six deterministic representative states
