facility_code,facility_name,facility_type,zone,municipality,district,latitude,longitude,source_dataset,bus_status,solver_ready,bus_id,voltage_kv,topology_role,voltage_level_status,notes
0101P5025000,CASARÃO,PC_AT,Região de Aveiro,Águeda,Aveiro,40.5510152482748,-8.39074499346803,pc-at_2025,candidate,False,0101P5025000_60,60.0,posto_de_corte,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0101S5000600,AGUEDA,SE_AT,Região de Aveiro,Águeda,Aveiro,40.5931354341641,-8.45671297621331,se-at_2025,candidate,False,0101S5000600_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0101S5000600,AGUEDA,SE_AT,Região de Aveiro,Águeda,Aveiro,40.5931354341641,-8.45671297621331,se-at_2025,candidate,False,0101S5000600_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0101S5001600,BARRÔ,SE_AT,Região de Aveiro,Águeda,Aveiro,40.5339021723744,-8.45500794583358,se-at_2025,candidate,False,0101S5001600_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0101S5001600,BARRÔ,SE_AT,Região de Aveiro,Águeda,Aveiro,40.5339021723744,-8.45500794583358,se-at_2025,candidate,False,0101S5001600_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0102S5000700,ALBERGARIA,SE_AT,Região de Aveiro,Albergaria-a-Velha,Aveiro,40.745339021957,-8.47754493097749,se-at_2025,candidate,False,0102S5000700_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0102S5000700,ALBERGARIA,SE_AT,Região de Aveiro,Albergaria-a-Velha,Aveiro,40.745339021957,-8.47754493097749,se-at_2025,candidate,False,0102S5000700_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0102S5010600,VISTA ALEGRE,SE_AT,Região de Aveiro,Albergaria-a-Velha,Aveiro,40.7055561247385,-8.49929605416157,se-at_2025,candidate,False,0102S5010600_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
0102S5010600,VISTA ALEGRE,SE_AT,Região de Aveiro,Albergaria-a-Velha,Aveiro,40.7055561247385,-8.49929605416157,se-at_2025,candidate,False,0102S5010600_15,15.0,transformer_node,derived,MT-side candidate bus derived from transformation_ratio=60/15. Not solver-ready until transformer unit and R/X/tap assumptions are resolved.
0103S5006000,MOGOFORES,SE_AT,Região de Aveiro,Anadia,Aveiro,40.4400911087426,-8.44888386990319,se-at_2025,candidate,False,0103S5006000_60,60.0,AT_substation,direct,"AT-side candidate bus. Not solver-ready until full electrical parameters, slack, and voltage-control assumptions are available."
